event_title,question,token_id_yes,token_id_no,price_yes,price_no,volume,liquidity,end_date,underlying_spot,strike_price,tenor_years,outcome,category,fair_price,delta,is_anomaly,anomaly_score
Synthetic Event 1,Will underlying finish above 108.9? (#1),syn_yes_0,syn_no_0,0.593,0.3826,3387.4760774894476,799.3168358527449,,110.9582,108.9237,0.651,0,Crypto,0.6039,0.020976,False,0.28
Synthetic Event 2,Will underlying finish above 83.9? (#2),syn_yes_1,syn_no_1,0.5764,0.4322,4757.65102010829,464.38202216686847,,85.1245,83.8575,0.3096,0,Macro,0.5979,0.040491,False,0.007
Synthetic Event 3,Will underlying finish above 88.8? (#3),syn_yes_2,syn_no_2,0.7372,0.2783,10122.75702130916,939.615282855884,,102.1834,88.8122,0.6293,1,Politics,0.7783,0.01442,False,0.1168
Synthetic Event 4,Will underlying finish above 101.0? (#4),syn_yes_3,syn_no_3,0.6974,0.2819,25378.245277362676,730.3946347457164,,111.1353,100.9544,0.3767,0,Other,0.7568,0.019574,False,0.4109
Synthetic Event 5,Will underlying finish above 89.4? (#5),syn_yes_4,syn_no_4,0.6448,0.333,1307.0379959369732,2101.8911957032415,,93.033,89.4176,0.3787,1,Crypto,0.664,0.031375,False,0.402
Synthetic Event 6,Will underlying finish above 107.2? (#6),syn_yes_5,syn_no_5,0.343,0.677,3349.9001189664314,1364.6982170000692,,97.4861,107.2155,0.5402,0,Macro,0.2983,0.02346,False,0.0097
Synthetic Event 7,Will underlying finish above 95.7? (#7),syn_yes_6,syn_no_6,0.7077,0.3095,694.2583685103789,796.580971759546,,107.2998,95.7035,0.1899,1,Politics,0.8167,0.016359,False,0.4271
Synthetic Event 8,Will underlying finish above 100.4? (#8),syn_yes_7,syn_no_7,0.5485,0.4616,553.9809103957493,784.5536599414639,,98.3566,100.385,0.1479,0,Other,0.5021,0.051229,False,0.2639
Synthetic Event 9,Will underlying finish above 107.1? (#9),syn_yes_8,syn_no_8,0.5155,0.4564,7030.238296099351,905.6887238674335,,105.3887,107.0827,0.4414,1,Crypto,0.5172,0.027861,False,0.6648
Synthetic Event 10,Will underlying finish above 105.0? (#10),syn_yes_9,syn_no_9,0.6843,0.3034,1944.475110690864,1285.0330168895634,,114.1361,105.026,0.0908,0,Macro,0.8155,0.020903,False,0.4489
Synthetic Event 11,Will underlying finish above 103.6? (#11),syn_yes_10,syn_no_10,0.5162,0.4551,901.5904355942824,1784.640870162823,,106.5725,103.5796,0.6198,1,Politics,0.5764,0.022041,False,0.4154
Synthetic Event 12,Will underlying finish above 86.5? (#12),syn_yes_11,syn_no_11,0.5262,0.4706,1952.179438005374,1012.6052954640671,,86.4509,86.478,0.1566,1,Other,0.5412,0.057763,False,0.1148
Synthetic Event 13,Will underlying finish above 82.8? (#13),syn_yes_12,syn_no_12,0.6692,0.3553,2042.311320985319,4020.768360436169,,94.4725,82.7858,0.1326,1,Crypto,0.8311,0.010066,True,1.0
Synthetic Event 14,Will underlying finish above 118.4? (#14),syn_yes_13,syn_no_13,0.3604,0.6154,6907.120655074513,194.93761353935835,,111.15,118.3822,0.3646,0,Macro,0.3259,0.026591,False,0.4051
Synthetic Event 15,Will underlying finish above 94.4? (#15),syn_yes_14,syn_no_14,0.3658,0.6497,3761.887899689625,1120.8606935244013,,92.2383,94.4304,0.1737,0,Politics,0.3696,0.050218,False,0.3671
Synthetic Event 16,Will underlying finish above 108.0? (#16),syn_yes_15,syn_no_15,0.4218,0.5507,6871.318209448772,1566.9260656596396,,103.3639,108.0105,0.1091,0,Other,0.3253,0.048062,False,0.3587
Synthetic Event 17,Will underlying finish above 86.3? (#17),syn_yes_16,syn_no_16,0.392,0.6129,5625.9828844096855,878.1147702362475,,84.1361,86.3483,0.1694,1,Crypto,0.3755,0.05531,False,0.0102
Synthetic Event 18,Will underlying finish above 117.7? (#18),syn_yes_17,syn_no_17,0.5609,0.4383,4511.610360947468,407.6715721284191,,118.3424,117.7141,0.5979,1,Macro,0.573,0.020918,False,0.2098
Synthetic Event 19,Will underlying finish above 92.0? (#19),syn_yes_18,syn_no_18,0.6114,0.385,8655.759623632825,1283.1183016843067,,98.9396,92.023,0.2821,1,Politics,0.7081,0.027998,False,0.3224
Synthetic Event 20,Will underlying finish above 87.0? (#20),syn_yes_19,syn_no_19,0.4384,0.5484,17464.576589592296,1249.21985752093,,85.61,86.9978,0.126,0,Other,0.4142,0.064256,False,0.2471
Synthetic Event 21,Will underlying finish above 94.8? (#21),syn_yes_20,syn_no_20,0.2113,0.7919,1311.0889373392065,2536.3699994111375,,84.3096,94.8318,0.2111,0,Crypto,0.151,0.024476,False,0.2369
Synthetic Event 22,Will underlying finish above 105.3? (#22),syn_yes_21,syn_no_21,0.2428,0.7426,4656.746007159753,695.7681727077555,,92.6856,105.2787,0.2536,0,Macro,0.1671,0.020802,False,0.1338
Synthetic Event 23,Will underlying finish above 111.8? (#23),syn_yes_22,syn_no_22,0.3295,0.694,3967.2408799358714,4048.0952535542765,,97.4039,111.7917,0.6742,0,Politics,0.2629,0.018664,False,0.2608
Synthetic Event 24,Will underlying finish above 116.3? (#24),syn_yes_23,syn_no_23,0.4299,0.5849,876.1444444600453,279.17555148911543,,110.8805,116.258,0.3116,1,Other,0.3762,0.029943,False,0.2312
Synthetic Event 25,Will underlying finish above 93.3? (#25),syn_yes_24,syn_no_24,0.2882,0.7178,12153.613660249583,448.2149789496812,,84.9103,93.3448,0.1573,0,Crypto,0.1934,0.03088,False,0.3115
Synthetic Event 26,Will underlying finish above 126.8? (#26),syn_yes_25,syn_no_25,0.2339,0.7369,3263.5959118445603,2087.9516514045736,,111.0962,126.8216,0.4005,1,Macro,0.189,0.017692,False,0.3123
Synthetic Event 27,Will underlying finish above 85.0? (#27),syn_yes_26,syn_no_26,0.4231,0.5589,7449.5025874250005,291.0826601286888,,84.8733,85.0345,0.536,0,Politics,0.455,0.031106,False,0.1433
Synthetic Event 28,Will underlying finish above 75.6? (#28),syn_yes_27,syn_no_27,0.6825,0.3055,5105.713251020049,4177.206946009951,,85.2423,75.6207,0.6993,1,Other,0.7414,0.018964,False,0.1168
Synthetic Event 29,Will underlying finish above 103.1? (#29),syn_yes_28,syn_no_28,0.2797,0.7284,3263.2854761550093,1377.7793703272264,,91.4578,103.1135,0.0674,1,Crypto,0.1317,0.006349,True,0.7014
Synthetic Event 30,Will underlying finish above 122.1? (#30),syn_yes_29,syn_no_29,0.4254,0.5727,4087.1574343786874,3662.325550353928,,118.6493,122.0679,0.7031,0,Macro,0.4268,0.019339,False,0.6482
Synthetic Event 31,Will underlying finish above 123.3? (#31),syn_yes_30,syn_no_30,0.3193,0.687,27201.8961320672,645.8456689159411,,113.1771,123.255,0.2128,0,Politics,0.2408,0.02622,False,0.425
Synthetic Event 32,Will underlying finish above 92.9? (#32),syn_yes_31,syn_no_31,0.4389,0.5583,822.6883214870682,366.2127400650805,,94.9674,92.8557,0.5064,1,Other,0.4948,0.027787,False,0.2287
Synthetic Event 33,Will underlying finish above 99.3? (#33),syn_yes_32,syn_no_32,0.6985,0.2803,1111.1412525552637,858.1012968001555,,112.6628,99.3216,0.0966,0,Crypto,0.8485,0.006596,False,0.6634
Synthetic Event 34,Will underlying finish above 105.1? (#34),syn_yes_33,syn_no_33,0.6825,0.2944,2283.837702933936,1383.2206862664088,,116.8388,105.1152,0.2493,1,Macro,0.7856,0.017758,False,0.2447
Synthetic Event 35,Will underlying finish above 84.4? (#35),syn_yes_34,syn_no_34,0.4549,0.5342,2981.209569917411,532.9576507237776,,82.1353,84.3811,0.5265,0,Politics,0.4369,0.032503,False,0.0
Synthetic Event 36,Will underlying finish above 73.9? (#36),syn_yes_35,syn_no_35,0.8079,0.1964,1389.838441600507,360.53481563168236,,81.739,73.9288,0.2157,1,Other,0.8292,0.026806,False,0.1715
Synthetic Event 37,Will underlying finish above 98.1? (#37),syn_yes_36,syn_no_36,0.6409,0.3797,981.9784033383831,684.3539075762768,,113.3383,98.1044,0.6974,0,Crypto,0.7433,0.012474,False,0.3467
Synthetic Event 38,Will underlying finish above 115.9? (#38),syn_yes_37,syn_no_37,0.4091,0.593,12984.24492987285,84.21234780978534,,111.1791,115.9315,0.5953,0,Macro,0.3982,0.0223,True,0.7614
Synthetic Event 39,Will underlying finish above 99.4? (#39),syn_yes_38,syn_no_38,0.3947,0.604,16770.056336342644,236.54503084792972,,95.4036,99.398,0.2365,1,Politics,0.3581,0.039981,False,0.4117
Synthetic Event 40,Will underlying finish above 89.8? (#40),syn_yes_39,syn_no_39,0.5389,0.4489,5338.261098765425,6200.043613289313,,94.6557,89.7571,0.3156,0,Other,0.6395,0.031615,False,0.5827
Synthetic Event 41,Will underlying finish above 94.1? (#41),syn_yes_40,syn_no_40,0.5051,0.5132,3186.0775016326534,545.9766322213937,,93.1344,94.1245,0.644,0,Crypto,0.5241,0.025805,False,0.0607
Synthetic Event 42,Will underlying finish above 99.6? (#42),syn_yes_41,syn_no_41,0.6599,0.347,18409.942623845694,2277.365772670905,,109.3957,99.629,0.5364,1,Macro,0.7222,0.018319,False,0.268
Synthetic Event 43,Will underlying finish above 104.7? (#43),syn_yes_42,syn_no_42,0.6737,0.3319,1481.884061102924,397.9325957618623,,117.4376,104.663,0.7212,0,Politics,0.7328,0.013948,False,0.1191
Synthetic Event 44,Will underlying finish above 92.6? (#44),syn_yes_43,syn_no_43,0.4649,0.539,301.48205381737654,1486.7781302355759,,90.1353,92.571,0.1165,0,Other,0.3957,0.060852,False,0.6047
Synthetic Event 45,Will underlying finish above 120.5? (#45),syn_yes_44,syn_no_44,0.204,0.8219,613.024927912674,4797.974113199101,,110.5569,120.482,0.3945,1,Crypto,0.2279,0.023663,False,0.6915
Synthetic Event 46,Will underlying finish above 103.7? (#46),syn_yes_45,syn_no_45,0.5975,0.3925,3768.381555702471,1437.0436182142537,,106.3145,103.7186,0.592,0,Macro,0.6143,0.022789,False,0.0094
Synthetic Event 47,Will underlying finish above 89.3? (#47),syn_yes_46,syn_no_46,0.6325,0.3936,2630.662434469391,4824.467030437482,,94.5677,89.3033,0.1603,1,Politics,0.7217,0.038694,False,0.4151
Synthetic Event 48,Will underlying finish above 115.5? (#48),syn_yes_47,syn_no_47,0.3105,0.6821,7021.934174944016,2544.8323864890904,,102.1197,115.4813,0.5962,0,Other,0.2602,0.01948,False,0.0713
Synthetic Event 49,Will underlying finish above 93.7? (#49),syn_yes_48,syn_no_48,0.1811,0.8242,3320.5325123775706,4062.4872365490955,,84.7391,93.6503,0.496,0,Crypto,0.2146,0.027165,False,0.199
Synthetic Event 50,Will underlying finish above 106.1? (#50),syn_yes_49,syn_no_49,0.5727,0.4154,3929.5263631916614,266.99611723610366,,113.016,106.0777,0.371,0,Macro,0.6654,0.023594,False,0.28
