timestamp,contract_id,question,price_yes,price_no,volume,liquidity,outcome,day_index,category
2026-07-17T11:47:28.593637+00:00,C000,Historical contract #1,0.6959,0.2879,637.9477570625829,736.767461856811,1,0,Crypto
2026-07-18T11:47:28.593637+00:00,C000,Historical contract #1,0.6856,0.2995,913.7571701121251,1344.1516907964942,1,1,Crypto
2026-07-19T11:47:28.593637+00:00,C000,Historical contract #1,0.6995,0.3062,4455.047337609192,966.8152997042865,1,2,Crypto
2026-07-20T11:47:28.593637+00:00,C000,Historical contract #1,0.6794,0.3228,839.5734114563287,1343.1330233813349,1,3,Crypto
2026-07-21T11:47:28.593637+00:00,C000,Historical contract #1,0.6793,0.3311,1048.6473394218071,1768.758330032068,1,4,Crypto
2026-07-22T11:47:28.593637+00:00,C000,Historical contract #1,0.6778,0.3333,1364.158671353239,1018.2567224212811,1,5,Crypto
2026-07-23T11:47:28.593637+00:00,C000,Historical contract #1,0.6878,0.2984,2552.0616518117167,3689.7651155880503,1,6,Crypto
2026-07-24T11:47:28.593637+00:00,C000,Historical contract #1,0.6816,0.3115,942.9203526502138,1088.7478332739042,1,7,Crypto
2026-07-25T11:47:28.593637+00:00,C000,Historical contract #1,0.7078,0.2774,923.2267018007566,343.92204813876776,1,8,Crypto
2026-07-26T11:47:28.593637+00:00,C000,Historical contract #1,0.7213,0.2762,2792.0277826654337,390.5641507079835,1,9,Crypto
2026-07-27T11:47:28.593637+00:00,C000,Historical contract #1,0.7252,0.2703,2153.7178868384935,1335.609501878258,1,10,Crypto
2026-07-28T11:47:28.593637+00:00,C000,Historical contract #1,0.7291,0.2589,1908.4816468182714,838.2325089274241,1,11,Crypto
2026-07-29T11:47:28.593637+00:00,C000,Historical contract #1,0.7413,0.2669,1400.0497167178803,456.55166801003094,1,12,Crypto
2026-07-30T11:47:28.593637+00:00,C000,Historical contract #1,0.7271,0.2585,5978.6678166255615,332.7312501224101,1,13,Crypto
2026-07-31T11:47:28.593637+00:00,C000,Historical contract #1,0.7479,0.2547,1383.1129187409033,757.6355400103025,1,14,Crypto
2026-08-01T11:47:28.593637+00:00,C000,Historical contract #1,0.7588,0.2436,3410.7169183307965,503.21622182678607,1,15,Crypto
2026-08-02T11:47:28.593637+00:00,C000,Historical contract #1,0.7478,0.2408,1551.4675060443074,239.7150536061483,1,16,Crypto
2026-08-03T11:47:28.593637+00:00,C000,Historical contract #1,0.7258,0.2565,2691.162661108776,745.4146113333424,1,17,Crypto
2026-08-04T11:47:28.593637+00:00,C000,Historical contract #1,0.7444,0.2579,2052.5367637543995,1097.1512372479656,1,18,Crypto
2026-08-05T11:47:28.593637+00:00,C000,Historical contract #1,0.741,0.2716,1064.7116040434037,497.48078003054763,1,19,Crypto
2026-08-06T11:47:28.593637+00:00,C000,Historical contract #1,0.7374,0.2715,2669.317190059001,456.9062044099468,1,20,Crypto
2026-08-07T11:47:28.593637+00:00,C000,Historical contract #1,0.743,0.2431,2584.3387223797486,1132.6418316529182,1,21,Crypto
2026-08-08T11:47:28.593637+00:00,C000,Historical contract #1,0.7463,0.2457,1696.3351880274506,172.45433086895903,1,22,Crypto
2026-08-09T11:47:28.593637+00:00,C000,Historical contract #1,0.723,0.2617,814.1971518112001,915.8195810717724,1,23,Crypto
2026-08-10T11:47:28.593637+00:00,C000,Historical contract #1,0.7147,0.2759,5112.187318212468,500.1903986067629,1,24,Crypto
2026-08-11T11:47:28.593637+00:00,C000,Historical contract #1,0.7413,0.2566,1534.0245009041778,311.05892263159575,1,25,Crypto
2026-08-12T11:47:28.593637+00:00,C000,Historical contract #1,0.7432,0.255,454.021094875833,941.560791547754,1,26,Crypto
2026-08-13T11:47:28.593637+00:00,C000,Historical contract #1,0.7571,0.2299,568.5866478778233,704.6516774449806,1,27,Crypto
2026-08-14T11:47:28.593637+00:00,C000,Historical contract #1,0.7544,0.2429,1839.927994509878,2395.681721697552,1,28,Crypto
2026-08-15T11:47:28.593637+00:00,C000,Historical contract #1,0.7586,0.2248,2086.869777115886,793.1380935777138,1,29,Crypto
2026-08-16T11:47:28.593637+00:00,C000,Historical contract #1,0.795,0.1982,2405.4609979724155,2144.458416443808,1,30,Crypto
2026-08-17T11:47:28.593637+00:00,C000,Historical contract #1,0.7757,0.2111,861.5553022418251,486.94547580176584,1,31,Crypto
2026-08-18T11:47:28.593637+00:00,C000,Historical contract #1,0.7563,0.2473,1513.5631352427101,205.07073417861338,1,32,Crypto
2026-08-19T11:47:28.593637+00:00,C000,Historical contract #1,0.7479,0.2634,3535.1155114935973,3285.8633537301803,1,33,Crypto
2026-08-20T11:47:28.593637+00:00,C000,Historical contract #1,0.82,0.1975,819.2337924424052,120.82738724572889,1,34,Crypto
2026-08-21T11:47:28.593637+00:00,C000,Historical contract #1,0.8292,0.164,1296.8768006307293,407.61477960084886,1,35,Crypto
2026-08-22T11:47:28.593637+00:00,C000,Historical contract #1,0.8297,0.1834,2050.089754703633,585.8666068887948,1,36,Crypto
2026-08-23T11:47:28.593637+00:00,C000,Historical contract #1,0.8129,0.1714,1225.3155390908366,637.1301547986211,1,37,Crypto
2026-08-24T11:47:28.593637+00:00,C000,Historical contract #1,0.8555,0.1552,3968.6910493295577,446.1090911799066,1,38,Crypto
2026-08-25T11:47:28.593637+00:00,C000,Historical contract #1,0.8334,0.148,1012.1369313693715,3651.0708457592546,1,39,Crypto
2026-08-26T11:47:28.593637+00:00,C000,Historical contract #1,0.8227,0.1896,878.0102409597649,1401.4439967508758,1,40,Crypto
2026-08-27T11:47:28.593637+00:00,C000,Historical contract #1,0.8385,0.1621,1750.0330966176266,393.92866659547934,1,41,Crypto
2026-08-28T11:47:28.593637+00:00,C000,Historical contract #1,0.854,0.1278,678.2496184486439,239.2837151433875,1,42,Crypto
2026-08-29T11:47:28.593637+00:00,C000,Historical contract #1,0.8624,0.1475,2054.9222483438116,604.9158389084937,1,43,Crypto
2026-08-30T11:47:28.593637+00:00,C000,Historical contract #1,0.8726,0.12,2154.913798606327,478.7881458483783,1,44,Crypto
2026-08-31T11:47:28.593637+00:00,C000,Historical contract #1,0.8985,0.0853,6177.103761505315,770.1517318436883,1,45,Crypto
2026-09-01T11:47:28.593637+00:00,C000,Historical contract #1,0.8746,0.115,6773.290883365438,2641.0519340048463,1,46,Crypto
2026-09-02T11:47:28.593637+00:00,C000,Historical contract #1,0.876,0.1112,5820.581406696146,274.3386945054492,1,47,Crypto
2026-09-03T11:47:28.593637+00:00,C000,Historical contract #1,0.8637,0.1474,1318.5868866318904,662.4217956720119,1,48,Crypto
